dataset,split,class_idx,class,n_images
DTD,train,0,banded,40
DTD,train,1,blotchy,40
DTD,train,2,braided,40
DTD,train,3,bubbly,40
DTD,train,4,bumpy,40
DTD,train,5,chequered,40
DTD,train,6,cobwebbed,40
DTD,train,7,cracked,40
DTD,train,8,crosshatched,40
DTD,train,9,crystalline,40
DTD,train,10,dotted,40
DTD,train,11,fibrous,40
DTD,train,12,flecked,40
DTD,train,13,freckled,40
DTD,train,14,frilly,40
DTD,train,15,gauzy,40
DTD,train,16,grid,40
DTD,train,17,grooved,40
DTD,train,18,honeycombed,40
DTD,train,19,interlaced,40
DTD,train,20,knitted,40
DTD,train,21,lacelike,40
DTD,train,22,lined,40
DTD,train,23,marbled,40
DTD,train,24,matted,40
DTD,train,25,meshed,40
DTD,train,26,paisley,40
DTD,train,27,perforated,40
DTD,train,28,pitted,40
DTD,train,29,pleated,40
DTD,train,30,polka-dotted,40
DTD,train,31,porous,40
DTD,train,32,potholed,40
DTD,train,33,scaly,40
DTD,train,34,smeared,40
DTD,train,35,spiralled,40
DTD,train,36,sprinkled,40
DTD,train,37,stained,40
DTD,train,38,stratified,40
DTD,train,39,striped,40
DTD,train,40,studded,40
DTD,train,41,swirly,40
DTD,train,42,veined,40
DTD,train,43,waffled,40
DTD,train,44,woven,40
DTD,train,45,wrinkled,40
DTD,train,46,zigzagged,40
DTD,val,0,banded,40
DTD,val,1,blotchy,40
DTD,val,2,braided,40
DTD,val,3,bubbly,40
DTD,val,4,bumpy,40
DTD,val,5,chequered,40
DTD,val,6,cobwebbed,40
DTD,val,7,cracked,40
DTD,val,8,crosshatched,40
DTD,val,9,crystalline,40
DTD,val,10,dotted,40
DTD,val,11,fibrous,40
DTD,val,12,flecked,40
DTD,val,13,freckled,40
DTD,val,14,frilly,40
DTD,val,15,gauzy,40
DTD,val,16,grid,40
DTD,val,17,grooved,40
DTD,val,18,honeycombed,40
DTD,val,19,interlaced,40
DTD,val,20,knitted,40
DTD,val,21,lacelike,40
DTD,val,22,lined,40
DTD,val,23,marbled,40
DTD,val,24,matted,40
DTD,val,25,meshed,40
DTD,val,26,paisley,40
DTD,val,27,perforated,40
DTD,val,28,pitted,40
DTD,val,29,pleated,40
DTD,val,30,polka-dotted,40
DTD,val,31,porous,40
DTD,val,32,potholed,40
DTD,val,33,scaly,40
DTD,val,34,smeared,40
DTD,val,35,spiralled,40
DTD,val,36,sprinkled,40
DTD,val,37,stained,40
DTD,val,38,stratified,40
DTD,val,39,striped,40
DTD,val,40,studded,40
DTD,val,41,swirly,40
DTD,val,42,veined,40
DTD,val,43,waffled,40
DTD,val,44,woven,40
DTD,val,45,wrinkled,40
DTD,val,46,zigzagged,40
DTD,test,0,banded,40
DTD,test,1,blotchy,40
DTD,test,2,braided,40
DTD,test,3,bubbly,40
DTD,test,4,bumpy,40
DTD,test,5,chequered,40
DTD,test,6,cobwebbed,40
DTD,test,7,cracked,40
DTD,test,8,crosshatched,40
DTD,test,9,crystalline,40
DTD,test,10,dotted,40
DTD,test,11,fibrous,40
DTD,test,12,flecked,40
DTD,test,13,freckled,40
DTD,test,14,frilly,40
DTD,test,15,gauzy,40
DTD,test,16,grid,40
DTD,test,17,grooved,40
DTD,test,18,honeycombed,40
DTD,test,19,interlaced,40
DTD,test,20,knitted,40
DTD,test,21,lacelike,40
DTD,test,22,lined,40
DTD,test,23,marbled,40
DTD,test,24,matted,40
DTD,test,25,meshed,40
DTD,test,26,paisley,40
DTD,test,27,perforated,40
DTD,test,28,pitted,40
DTD,test,29,pleated,40
DTD,test,30,polka-dotted,40
DTD,test,31,porous,40
DTD,test,32,potholed,40
DTD,test,33,scaly,40
DTD,test,34,smeared,40
DTD,test,35,spiralled,40
DTD,test,36,sprinkled,40
DTD,test,37,stained,40
DTD,test,38,stratified,40
DTD,test,39,striped,40
DTD,test,40,studded,40
DTD,test,41,swirly,40
DTD,test,42,veined,40
DTD,test,43,waffled,40
DTD,test,44,woven,40
DTD,test,45,wrinkled,40
DTD,test,46,zigzagged,40
