dataset,split,class_idx,class,n_images
FGVC-Aircraft,train,0,707-320,34
FGVC-Aircraft,train,1,727-200,33
FGVC-Aircraft,train,2,737-200,33
FGVC-Aircraft,train,3,737-300,34
FGVC-Aircraft,train,4,737-400,33
FGVC-Aircraft,train,5,737-500,33
FGVC-Aircraft,train,6,737-600,34
FGVC-Aircraft,train,7,737-700,33
FGVC-Aircraft,train,8,737-800,33
FGVC-Aircraft,train,9,737-900,34
FGVC-Aircraft,train,10,747-100,33
FGVC-Aircraft,train,11,747-200,33
FGVC-Aircraft,train,12,747-300,34
FGVC-Aircraft,train,13,747-400,33
FGVC-Aircraft,train,14,757-200,33
FGVC-Aircraft,train,15,757-300,34
FGVC-Aircraft,train,16,767-200,33
FGVC-Aircraft,train,17,767-300,33
FGVC-Aircraft,train,18,767-400,34
FGVC-Aircraft,train,19,777-200,33
FGVC-Aircraft,train,20,777-300,33
FGVC-Aircraft,train,21,A300B4,34
FGVC-Aircraft,train,22,A310,33
FGVC-Aircraft,train,23,A318,33
FGVC-Aircraft,train,24,A319,34
FGVC-Aircraft,train,25,A320,33
FGVC-Aircraft,train,26,A321,33
FGVC-Aircraft,train,27,A330-200,34
FGVC-Aircraft,train,28,A330-300,33
FGVC-Aircraft,train,29,A340-200,33
FGVC-Aircraft,train,30,A340-300,34
FGVC-Aircraft,train,31,A340-500,33
FGVC-Aircraft,train,32,A340-600,33
FGVC-Aircraft,train,33,A380,34
FGVC-Aircraft,train,34,ATR-42,33
FGVC-Aircraft,train,35,ATR-72,33
FGVC-Aircraft,train,36,An-12,34
FGVC-Aircraft,train,37,BAE 146-200,33
FGVC-Aircraft,train,38,BAE 146-300,33
FGVC-Aircraft,train,39,BAE-125,34
FGVC-Aircraft,train,40,Beechcraft 1900,33
FGVC-Aircraft,train,41,Boeing 717,33
FGVC-Aircraft,train,42,C-130,34
FGVC-Aircraft,train,43,C-47,33
FGVC-Aircraft,train,44,CRJ-200,33
FGVC-Aircraft,train,45,CRJ-700,34
FGVC-Aircraft,train,46,CRJ-900,33
FGVC-Aircraft,train,47,Cessna 172,33
FGVC-Aircraft,train,48,Cessna 208,34
FGVC-Aircraft,train,49,Cessna 525,33
FGVC-Aircraft,train,50,Cessna 560,33
FGVC-Aircraft,train,51,Challenger 600,34
FGVC-Aircraft,train,52,DC-10,33
FGVC-Aircraft,train,53,DC-3,33
FGVC-Aircraft,train,54,DC-6,34
FGVC-Aircraft,train,55,DC-8,33
FGVC-Aircraft,train,56,DC-9-30,33
FGVC-Aircraft,train,57,DH-82,34
FGVC-Aircraft,train,58,DHC-1,33
FGVC-Aircraft,train,59,DHC-6,33
FGVC-Aircraft,train,60,DHC-8-100,34
FGVC-Aircraft,train,61,DHC-8-300,33
FGVC-Aircraft,train,62,DR-400,33
FGVC-Aircraft,train,63,Dornier 328,34
FGVC-Aircraft,train,64,E-170,33
FGVC-Aircraft,train,65,E-190,33
FGVC-Aircraft,train,66,E-195,34
FGVC-Aircraft,train,67,EMB-120,33
FGVC-Aircraft,train,68,ERJ 135,33
FGVC-Aircraft,train,69,ERJ 145,34
FGVC-Aircraft,train,70,Embraer Legacy 600,33
FGVC-Aircraft,train,71,Eurofighter Typhoon,33
FGVC-Aircraft,train,72,F-16A/B,34
FGVC-Aircraft,train,73,F/A-18,33
FGVC-Aircraft,train,74,Falcon 2000,33
FGVC-Aircraft,train,75,Falcon 900,34
FGVC-Aircraft,train,76,Fokker 100,33
FGVC-Aircraft,train,77,Fokker 50,33
FGVC-Aircraft,train,78,Fokker 70,34
FGVC-Aircraft,train,79,Global Express,33
FGVC-Aircraft,train,80,Gulfstream IV,33
FGVC-Aircraft,train,81,Gulfstream V,34
FGVC-Aircraft,train,82,Hawk T1,33
FGVC-Aircraft,train,83,Il-76,33
FGVC-Aircraft,train,84,L-1011,34
FGVC-Aircraft,train,85,MD-11,33
FGVC-Aircraft,train,86,MD-80,33
FGVC-Aircraft,train,87,MD-87,34
FGVC-Aircraft,train,88,MD-90,33
FGVC-Aircraft,train,89,Metroliner,33
FGVC-Aircraft,train,90,Model B200,34
FGVC-Aircraft,train,91,PA-28,33
FGVC-Aircraft,train,92,SR-20,33
FGVC-Aircraft,train,93,Saab 2000,34
FGVC-Aircraft,train,94,Saab 340,33
FGVC-Aircraft,train,95,Spitfire,33
FGVC-Aircraft,train,96,Tornado,34
FGVC-Aircraft,train,97,Tu-134,33
