dataset,width,height,aspect,min_side,mode
DTD,400,400,1.0,400,RGB
DTD,416,337,1.234,337,RGB
DTD,640,478,1.339,478,RGB
DTD,522,422,1.237,422,RGB
DTD,512,640,0.8,512,RGB
DTD,332,450,0.738,332,RGB
DTD,346,341,1.015,341,RGB
DTD,500,400,1.25,400,RGB
DTD,639,426,1.5,426,RGB
DTD,480,640,0.75,480,RGB
DTD,540,540,1.0,540,RGB
DTD,322,307,1.049,307,RGB
DTD,597,552,1.082,552,RGB
DTD,640,611,1.047,611,RGB
DTD,639,426,1.5,426,RGB
DTD,626,469,1.335,469,RGB
DTD,418,350,1.194,350,RGB
DTD,640,480,1.333,480,RGB
DTD,640,462,1.385,462,RGB
DTD,393,400,0.983,393,RGB
DTD,359,367,0.978,359,RGB
DTD,539,640,0.842,539,RGB
DTD,395,310,1.274,310,RGB
DTD,600,595,1.008,595,RGB
DTD,512,512,1.0,512,RGB
DTD,480,318,1.509,318,RGB
DTD,450,455,0.989,450,RGB
DTD,400,320,1.25,320,RGB
DTD,504,403,1.251,403,RGB
DTD,451,640,0.705,451,RGB
DTD,407,402,1.012,402,RGB
DTD,500,325,1.538,325,RGB
DTD,416,347,1.199,347,RGB
DTD,456,640,0.713,456,RGB
DTD,639,480,1.331,480,RGB
DTD,304,386,0.788,304,RGB
DTD,300,300,1.0,300,RGB
DTD,558,535,1.043,535,RGB
DTD,355,337,1.053,337,RGB
DTD,574,552,1.04,552,RGB
DTD,386,371,1.04,371,RGB
DTD,640,619,1.034,619,RGB
DTD,639,420,1.521,420,RGB
DTD,640,435,1.471,435,RGB
DTD,515,494,1.043,494,RGB
DTD,400,534,0.749,400,RGB
DTD,640,640,1.0,640,RGB
DTD,639,426,1.5,426,RGB
DTD,601,444,1.354,444,RGB
DTD,640,480,1.333,480,RGB
DTD,320,428,0.748,320,RGB
DTD,640,590,1.085,590,RGB
DTD,640,480,1.333,480,RGB
DTD,455,417,1.091,417,RGB
DTD,452,468,0.966,452,RGB
DTD,567,615,0.922,567,RGB
DTD,327,365,0.896,327,RGB
DTD,620,300,2.067,300,RGB
DTD,324,341,0.95,324,RGB
DTD,640,588,1.088,588,RGB
DTD,512,512,1.0,512,RGB
DTD,640,461,1.388,461,RGB
DTD,550,412,1.335,412,RGB
DTD,629,456,1.379,456,RGB
DTD,478,420,1.138,420,RGB
DTD,485,559,0.868,485,RGB
DTD,528,528,1.0,528,RGB
DTD,600,542,1.107,542,RGB
DTD,398,319,1.248,319,RGB
DTD,640,640,1.0,640,RGB
DTD,321,354,0.907,321,RGB
DTD,400,300,1.333,300,RGB
DTD,640,551,1.162,551,RGB
DTD,632,355,1.78,355,RGB
DTD,522,448,1.165,448,RGB
DTD,543,329,1.65,329,RGB
DTD,354,360,0.983,354,RGB
DTD,566,603,0.939,566,RGB
DTD,622,596,1.044,596,RGB
DTD,495,495,1.0,495,RGB
DTD,359,303,1.185,303,RGB
DTD,600,579,1.036,579,RGB
DTD,382,377,1.013,377,RGB
DTD,368,519,0.709,368,RGB
DTD,520,390,1.333,390,RGB
DTD,434,380,1.142,380,RGB
DTD,640,480,1.333,480,RGB
DTD,634,454,1.396,454,RGB
DTD,639,359,1.78,359,RGB
DTD,639,426,1.5,426,RGB
DTD,310,390,0.795,310,RGB
DTD,640,480,1.333,480,RGB
DTD,630,604,1.043,604,RGB
DTD,620,640,0.969,620,RGB
DTD,503,469,1.072,469,RGB
DTD,431,324,1.33,324,RGB
DTD,420,428,0.981,420,RGB
DTD,320,320,1.0,320,RGB
DTD,500,333,1.502,333,RGB
DTD,563,559,1.007,559,RGB
DTD,375,500,0.75,375,RGB
DTD,639,424,1.507,424,RGB
DTD,300,300,1.0,300,RGB
DTD,385,320,1.203,320,RGB
DTD,640,429,1.492,429,RGB
DTD,575,640,0.898,575,RGB
DTD,343,398,0.862,343,RGB
DTD,640,425,1.506,425,RGB
DTD,480,320,1.5,320,RGB
DTD,640,421,1.52,421,RGB
DTD,315,394,0.799,315,RGB
DTD,640,640,1.0,640,RGB
DTD,485,324,1.497,324,RGB
DTD,375,515,0.728,375,RGB
DTD,639,426,1.5,426,RGB
DTD,553,430,1.286,430,RGB
DTD,314,450,0.698,314,RGB
DTD,465,481,0.967,465,RGB
DTD,640,430,1.488,430,RGB
DTD,640,442,1.448,442,RGB
DTD,580,435,1.333,435,RGB
DTD,392,374,1.048,374,RGB
DTD,399,372,1.073,372,RGB
DTD,640,400,1.6,400,RGB
DTD,490,300,1.633,300,RGB
DTD,325,313,1.038,313,RGB
DTD,480,480,1.0,480,RGB
DTD,640,415,1.542,415,RGB
DTD,525,348,1.509,348,RGB
DTD,315,372,0.847,315,RGB
DTD,640,480,1.333,480,RGB
DTD,512,459,1.115,459,RGB
DTD,639,420,1.521,420,RGB
DTD,364,320,1.137,320,RGB
DTD,600,400,1.5,400,RGB
DTD,400,400,1.0,400,RGB
DTD,339,302,1.123,302,RGB
DTD,364,373,0.976,364,RGB
DTD,640,495,1.293,495,RGB
DTD,390,336,1.161,336,RGB
DTD,485,640,0.758,485,RGB
DTD,640,503,1.272,503,RGB
DTD,312,384,0.812,312,RGB
DTD,385,379,1.016,379,RGB
DTD,639,426,1.5,426,RGB
DTD,640,624,1.026,624,RGB
DTD,345,376,0.918,345,RGB
DTD,640,463,1.382,463,RGB
DTD,331,323,1.025,323,RGB
DTD,600,450,1.333,450,RGB
DTD,310,437,0.709,310,RGB
DTD,417,423,0.986,417,RGB
DTD,409,409,1.0,409,RGB
DTD,468,639,0.732,468,RGB
DTD,600,600,1.0,600,RGB
DTD,480,373,1.287,373,RGB
DTD,441,435,1.014,435,RGB
DTD,305,307,0.993,305,RGB
DTD,480,640,0.75,480,RGB
DTD,640,625,1.024,625,RGB
DTD,300,421,0.713,300,RGB
DTD,356,370,0.962,356,RGB
DTD,640,480,1.333,480,RGB
DTD,426,640,0.666,426,RGB
DTD,400,336,1.19,336,RGB
DTD,640,616,1.039,616,RGB
DTD,595,640,0.93,595,RGB
DTD,337,352,0.957,337,RGB
DTD,434,343,1.265,343,RGB
DTD,479,639,0.75,479,RGB
DTD,360,360,1.0,360,RGB
DTD,620,525,1.181,525,RGB
DTD,639,396,1.614,396,RGB
DTD,500,500,1.0,500,RGB
DTD,547,461,1.187,461,RGB
DTD,347,386,0.899,347,RGB
DTD,409,337,1.214,337,RGB
DTD,640,426,1.502,426,RGB
DTD,407,370,1.1,370,RGB
DTD,480,480,1.0,480,RGB
DTD,618,553,1.118,553,RGB
DTD,600,600,1.0,600,RGB
DTD,640,480,1.333,480,RGB
DTD,576,384,1.5,384,RGB
DTD,562,521,1.079,521,RGB
DTD,500,334,1.497,334,RGB
DTD,600,450,1.333,450,RGB
DTD,458,329,1.392,329,RGB
DTD,375,500,0.75,375,RGB
DTD,375,375,1.0,375,RGB
DTD,600,300,2.0,300,RGB
DTD,300,300,1.0,300,RGB
DTD,507,640,0.792,507,RGB
DTD,389,393,0.99,389,RGB
DTD,639,425,1.504,425,RGB
DTD,640,400,1.6,400,RGB
DTD,333,312,1.067,312,RGB
DTD,466,486,0.959,466,RGB
DTD,314,415,0.757,314,RGB
DTD,585,578,1.012,578,RGB
DTD,358,358,1.0,358,RGB
DTD,614,640,0.959,614,RGB
DTD,482,538,0.896,482,RGB
DTD,514,600,0.857,514,RGB
DTD,349,357,0.978,349,RGB
DTD,640,639,1.002,639,RGB
DTD,349,345,1.012,345,RGB
DTD,800,600,1.333,600,RGB
DTD,300,300,1.0,300,RGB
DTD,640,544,1.176,544,RGB
DTD,500,422,1.185,422,RGB
DTD,500,332,1.506,332,RGB
DTD,480,471,1.019,471,RGB
DTD,361,351,1.028,351,RGB
DTD,560,420,1.333,420,RGB
DTD,480,360,1.333,360,RGB
DTD,495,495,1.0,495,RGB
DTD,536,369,1.453,369,RGB
DTD,350,443,0.79,350,RGB
DTD,598,344,1.738,344,RGB
DTD,398,318,1.252,318,RGB
DTD,300,328,0.915,300,RGB
DTD,450,347,1.297,347,RGB
DTD,611,427,1.431,427,RGB
DTD,411,348,1.181,348,RGB
DTD,327,320,1.022,320,RGB
DTD,600,399,1.504,399,RGB
DTD,521,356,1.463,356,RGB
DTD,510,431,1.183,431,RGB
DTD,640,480,1.333,480,RGB
DTD,404,463,0.873,404,RGB
