encoder,dataset,K,seed,n_train,pct_of_train_split,n_classes,feature_dim,seed_role,trainable_params
resnet18,DTD,5,0,235,12.5,47,512,subset selection,24111
resnet18,DTD,5,1,235,12.5,47,512,subset selection,24111
resnet18,DTD,5,2,235,12.5,47,512,subset selection,24111
resnet18,DTD,10,0,470,25.0,47,512,subset selection,24111
resnet18,DTD,10,1,470,25.0,47,512,subset selection,24111
resnet18,DTD,10,2,470,25.0,47,512,subset selection,24111
resnet18,DTD,full,0,1880,100.0,47,512,weight init,24111
resnet18,DTD,full,1,1880,100.0,47,512,weight init,24111
resnet18,DTD,full,2,1880,100.0,47,512,weight init,24111
resnet18,FGVC-Aircraft,5,0,500,15.0,100,512,subset selection,51300
resnet18,FGVC-Aircraft,5,1,500,15.0,100,512,subset selection,51300
resnet18,FGVC-Aircraft,5,2,500,15.0,100,512,subset selection,51300
resnet18,FGVC-Aircraft,10,0,1000,30.0,100,512,subset selection,51300
resnet18,FGVC-Aircraft,10,1,1000,30.0,100,512,subset selection,51300
resnet18,FGVC-Aircraft,10,2,1000,30.0,100,512,subset selection,51300
resnet18,FGVC-Aircraft,full,0,3334,100.0,100,512,weight init,51300
resnet18,FGVC-Aircraft,full,1,3334,100.0,100,512,weight init,51300
resnet18,FGVC-Aircraft,full,2,3334,100.0,100,512,weight init,51300
dinov2,FGVC-Aircraft,5,0,500,15.0,100,384,subset selection,38500
dinov2,FGVC-Aircraft,5,1,500,15.0,100,384,subset selection,38500
dinov2,FGVC-Aircraft,5,2,500,15.0,100,384,subset selection,38500
dinov2,FGVC-Aircraft,10,0,1000,30.0,100,384,subset selection,38500
dinov2,FGVC-Aircraft,10,1,1000,30.0,100,384,subset selection,38500
dinov2,FGVC-Aircraft,10,2,1000,30.0,100,384,subset selection,38500
dinov2,FGVC-Aircraft,full,0,3334,100.0,100,384,weight init,38500
dinov2,FGVC-Aircraft,full,1,3334,100.0,100,384,weight init,38500
dinov2,FGVC-Aircraft,full,2,3334,100.0,100,384,weight init,38500
