encoder,dataset,class_idx,class_name,probe_acc,prototype_acc,gap_pp
dinov2,FGVC-Aircraft,79,Global Express,87.9,6.1,81.80000000000001
dinov2,FGVC-Aircraft,98,Tu-154,91.2,14.7,76.5
dinov2,FGVC-Aircraft,51,Challenger 600,84.8,12.1,72.7
dinov2,FGVC-Aircraft,20,777-300,70.6,0.0,70.6
dinov2,FGVC-Aircraft,74,Falcon 2000,91.2,20.6,70.6
dinov2,FGVC-Aircraft,39,BAE-125,93.9,27.3,66.60000000000001
dinov2,FGVC-Aircraft,44,CRJ-200,85.3,23.5,61.8
dinov2,FGVC-Aircraft,81,Gulfstream V,87.9,27.3,60.60000000000001
dinov2,FGVC-Aircraft,78,Fokker 70,69.7,9.1,60.6
dinov2,FGVC-Aircraft,6,737-600,60.6,0.0,60.6
dinov2,FGVC-Aircraft,33,A380,75.8,15.2,60.599999999999994
dinov2,FGVC-Aircraft,23,A318,61.8,2.9,58.9
dinov2,FGVC-Aircraft,55,DC-8,66.7,9.1,57.6
dinov2,FGVC-Aircraft,64,E-170,63.6,6.1,57.5
dinov2,FGVC-Aircraft,22,A310,66.7,12.1,54.6
dinov2,FGVC-Aircraft,15,757-300,75.8,21.2,54.599999999999994
dinov2,FGVC-Aircraft,34,ATR-42,78.8,24.2,54.599999999999994
dinov2,FGVC-Aircraft,7,737-700,63.6,9.1,54.5
dinov2,FGVC-Aircraft,32,A340-600,58.8,5.9,52.9
dinov2,FGVC-Aircraft,9,737-900,51.5,0.0,51.5
dinov2,FGVC-Aircraft,99,Yak-42,81.8,33.3,48.5
dinov2,FGVC-Aircraft,52,DC-10,63.6,15.2,48.400000000000006
dinov2,FGVC-Aircraft,76,Fokker 100,48.5,3.0,45.5
dinov2,FGVC-Aircraft,69,ERJ 145,66.7,21.2,45.5
dinov2,FGVC-Aircraft,36,An-12,97.0,51.5,45.5
dinov2,FGVC-Aircraft,45,CRJ-700,57.6,12.1,45.5
dinov2,FGVC-Aircraft,60,DHC-8-100,81.8,36.4,45.4
dinov2,FGVC-Aircraft,80,Gulfstream IV,64.7,20.6,44.1
dinov2,FGVC-Aircraft,50,Cessna 560,85.3,41.2,44.099999999999994
dinov2,FGVC-Aircraft,46,CRJ-900,66.7,24.2,42.5
dinov2,FGVC-Aircraft,28,A330-300,42.4,0.0,42.4
dinov2,FGVC-Aircraft,16,767-200,48.5,6.1,42.4
dinov2,FGVC-Aircraft,68,ERJ 135,73.5,32.4,41.1
resnet18,FGVC-Aircraft,39,BAE-125,48.5,9.1,39.4
dinov2,FGVC-Aircraft,77,Fokker 50,91.2,52.9,38.300000000000004
dinov2,FGVC-Aircraft,41,Boeing 717,58.8,20.6,38.199999999999996
resnet18,FGVC-Aircraft,81,Gulfstream V,60.6,24.2,36.400000000000006
dinov2,FGVC-Aircraft,18,767-400,69.7,33.3,36.400000000000006
resnet18,FGVC-Aircraft,15,757-300,45.5,9.1,36.4
dinov2,FGVC-Aircraft,70,Embraer Legacy 600,78.8,42.4,36.4
dinov2,FGVC-Aircraft,97,Tu-134,93.9,57.6,36.300000000000004
dinov2,FGVC-Aircraft,49,Cessna 525,81.8,45.5,36.3
dinov2,FGVC-Aircraft,67,EMB-120,81.8,45.5,36.3
dinov2,FGVC-Aircraft,61,DHC-8-300,84.8,48.5,36.3
dinov2,FGVC-Aircraft,19,777-200,42.4,6.1,36.3
dinov2,FGVC-Aircraft,66,E-195,42.4,6.1,36.3
dinov2,FGVC-Aircraft,92,SR-20,100.0,64.7,35.3
resnet18,FGVC-Aircraft,9,737-900,36.4,3.0,33.4
resnet18,FGVC-Aircraft,40,Beechcraft 1900,42.4,9.1,33.3
dinov2,FGVC-Aircraft,21,A300B4,39.4,6.1,33.3
dinov2,FGVC-Aircraft,25,A320,33.3,0.0,33.3
dinov2,FGVC-Aircraft,26,A321,41.2,8.8,32.400000000000006
dinov2,FGVC-Aircraft,29,A340-200,32.4,0.0,32.4
dinov2,FGVC-Aircraft,8,737-800,44.1,11.8,32.3
dinov2,FGVC-Aircraft,94,Saab 340,66.7,36.4,30.300000000000004
dinov2,FGVC-Aircraft,85,MD-11,54.5,24.2,30.3
resnet18,FGVC-Aircraft,64,E-170,30.3,0.0,30.3
resnet18,FGVC-Aircraft,79,Global Express,48.5,18.2,30.3
dinov2,FGVC-Aircraft,1,727-200,57.6,27.3,30.3
dinov2,FGVC-Aircraft,27,A330-200,42.4,12.1,30.299999999999997
dinov2,FGVC-Aircraft,86,MD-80,32.4,2.9,29.5
resnet18,FGVC-Aircraft,44,CRJ-200,32.4,2.9,29.5
resnet18,FGVC-Aircraft,89,Metroliner,64.7,35.3,29.400000000000006
dinov2,FGVC-Aircraft,14,757-200,38.2,8.8,29.400000000000002
resnet18,FGVC-Aircraft,38,BAE 146-300,38.2,8.8,29.400000000000002
dinov2,FGVC-Aircraft,11,747-200,29.4,0.0,29.4
resnet18,FGVC-Aircraft,37,BAE 146-200,51.5,24.2,27.3
dinov2,FGVC-Aircraft,24,A319,45.5,18.2,27.3
resnet18,FGVC-Aircraft,46,CRJ-900,36.4,9.1,27.299999999999997
dinov2,FGVC-Aircraft,4,737-400,36.4,9.1,27.299999999999997
