encoder,dataset,K,method,mean,std,n_runs
resnet18,DTD,5,linear_probe,44.86,1.83,3
resnet18,DTD,10,linear_probe,52.04,1.16,3
resnet18,DTD,full,linear_probe,62.82,0.42,3
resnet18,DTD,5,prototype,46.1,1.89,3
resnet18,DTD,10,prototype,51.67,1.33,3
resnet18,DTD,full,prototype,58.83,,1
dinov2,FGVC-Aircraft,5,linear_probe,38.19,2.49,3
dinov2,FGVC-Aircraft,10,linear_probe,51.54,1.7,3
dinov2,FGVC-Aircraft,full,linear_probe,67.55,0.28,3
dinov2,FGVC-Aircraft,5,prototype,23.79,0.47,3
dinov2,FGVC-Aircraft,10,prototype,27.74,0.98,3
dinov2,FGVC-Aircraft,full,prototype,34.26,,1
resnet18,FGVC-Aircraft,5,linear_probe,20.76,0.26,3
resnet18,FGVC-Aircraft,10,linear_probe,27.87,1.33,3
resnet18,FGVC-Aircraft,full,linear_probe,38.15,0.29,3
resnet18,FGVC-Aircraft,5,prototype,16.46,0.39,3
resnet18,FGVC-Aircraft,10,prototype,20.19,1.14,3
resnet18,FGVC-Aircraft,full,prototype,25.47,,1
