encoder,dataset,true_class,predicted_as,rate_pct
dinov2,FGVC-Aircraft,C-47,DC-3,48.5
dinov2,FGVC-Aircraft,DC-3,C-47,44.1
resnet18,DTD,dotted,polka-dotted,40.0
dinov2,FGVC-Aircraft,A340-200,A340-300,38.2
dinov2,FGVC-Aircraft,BAE 146-300,BAE 146-200,35.3
dinov2,FGVC-Aircraft,MD-90,MD-80,33.3
dinov2,FGVC-Aircraft,E-195,E-190,30.3
dinov2,FGVC-Aircraft,747-100,747-200,30.3
dinov2,FGVC-Aircraft,737-300,737-400,30.3
dinov2,FGVC-Aircraft,BAE 146-200,BAE 146-300,30.3
dinov2,FGVC-Aircraft,747-400,747-300,30.3
dinov2,FGVC-Aircraft,E-190,E-195,29.4
dinov2,FGVC-Aircraft,MD-11,DC-10,27.3
dinov2,FGVC-Aircraft,MD-80,MD-90,26.5
resnet18,DTD,polka-dotted,dotted,25.0
dinov2,FGVC-Aircraft,A330-300,A330-200,24.2
dinov2,FGVC-Aircraft,737-900,737-800,24.2
dinov2,FGVC-Aircraft,CRJ-700,CRJ-900,24.2
dinov2,FGVC-Aircraft,767-300,767-200,23.5
dinov2,FGVC-Aircraft,A318,A319,23.5
dinov2,FGVC-Aircraft,ERJ 135,ERJ 145,23.5
dinov2,FGVC-Aircraft,747-200,747-300,23.5
resnet18,DTD,lined,banded,22.5
dinov2,FGVC-Aircraft,CRJ-900,CRJ-700,21.2
dinov2,FGVC-Aircraft,ERJ 145,ERJ 135,21.2
dinov2,FGVC-Aircraft,737-400,737-300,21.2
dinov2,FGVC-Aircraft,A300B4,A310,21.2
dinov2,FGVC-Aircraft,A320,A319,21.2
dinov2,FGVC-Aircraft,A319,A318,21.2
dinov2,FGVC-Aircraft,MD-80,MD-87,20.6
resnet18,DTD,stained,marbled,20.0
resnet18,DTD,woven,braided,20.0
resnet18,DTD,grid,meshed,20.0
dinov2,FGVC-Aircraft,767-200,767-300,18.2
dinov2,FGVC-Aircraft,747-300,747-200,18.2
dinov2,FGVC-Aircraft,E-170,E-190,18.2
dinov2,FGVC-Aircraft,A340-300,A340-200,18.2
dinov2,FGVC-Aircraft,Gulfstream IV,Gulfstream V,17.6
resnet18,DTD,pleated,gauzy,17.5
dinov2,FGVC-Aircraft,A330-200,A330-300,15.2
dinov2,FGVC-Aircraft,747-300,747-400,15.2
dinov2,FGVC-Aircraft,747-300,747-100,15.2
dinov2,FGVC-Aircraft,767-400,767-300,15.2
dinov2,FGVC-Aircraft,Falcon 900,Falcon 2000,15.2
dinov2,FGVC-Aircraft,Fokker 100,Fokker 70,15.2
dinov2,FGVC-Aircraft,Saab 2000,Saab 340,15.2
dinov2,FGVC-Aircraft,MD-87,MD-80,15.2
dinov2,FGVC-Aircraft,777-200,777-300,15.2
dinov2,FGVC-Aircraft,737-300,737-500,15.2
dinov2,FGVC-Aircraft,757-300,757-200,15.2
dinov2,FGVC-Aircraft,737-500,737-700,14.7
dinov2,FGVC-Aircraft,757-200,777-300,14.7
dinov2,FGVC-Aircraft,747-200,747-400,14.7
dinov2,FGVC-Aircraft,Boeing 717,MD-80,14.7
dinov2,FGVC-Aircraft,737-800,737-900,14.7
dinov2,FGVC-Aircraft,777-300,777-200,14.7
resnet18,DTD,stained,blotchy,12.5
resnet18,DTD,pitted,porous,12.5
resnet18,DTD,bubbly,sprinkled,12.5
resnet18,DTD,studded,perforated,12.5
resnet18,DTD,blotchy,sprinkled,12.5
resnet18,DTD,polka-dotted,perforated,12.5
resnet18,DTD,matted,fibrous,12.5
dinov2,FGVC-Aircraft,A319,A320,12.1
dinov2,FGVC-Aircraft,DHC-8-300,DHC-8-100,12.1
dinov2,FGVC-Aircraft,EMB-120,Saab 340,12.1
dinov2,FGVC-Aircraft,DC-8,707-320,12.1
dinov2,FGVC-Aircraft,Fokker 70,Fokker 100,12.1
dinov2,FGVC-Aircraft,737-600,737-700,12.1
dinov2,FGVC-Aircraft,MD-90,MD-87,12.1
dinov2,FGVC-Aircraft,L-1011,DC-10,12.1
dinov2,FGVC-Aircraft,747-400,747-200,12.1
dinov2,FGVC-Aircraft,747-400,747-100,12.1
dinov2,FGVC-Aircraft,737-400,737-500,12.1
dinov2,FGVC-Aircraft,Cessna 525,Cessna 560,12.1
dinov2,FGVC-Aircraft,A330-200,A300B4,12.1
dinov2,FGVC-Aircraft,Saab 340,EMB-120,12.1
dinov2,FGVC-Aircraft,MD-80,Boeing 717,11.8
