encoder,dataset,K,seed,n_train,best_val_acc,best_epoch,test_acc,final_train_loss,min_val_loss,final_val_loss,elapsed_s
resnet18,DTD,5,0,235,0.4654255211353302,27,0.4617021083831787,0.01051,2.11596,2.28057,2.98
resnet18,DTD,5,1,235,0.43989360332489014,17,0.4276595711708069,0.01181,2.11656,2.29517,2.24
resnet18,DTD,5,2,235,0.4436170160770416,52,0.45638296008110046,0.01103,2.10654,2.29736,2.19
resnet18,DTD,10,0,470,0.5058510303497314,14,0.5117021203041077,0.00966,1.82084,2.12413,4.12
resnet18,DTD,10,1,470,0.5143616795539856,37,0.5159574151039124,0.012,1.76681,2.07058,3.85
resnet18,DTD,10,2,470,0.5255318880081177,32,0.5335106253623962,0.01015,1.77279,2.0821,3.75
resnet18,DTD,full,0,1880,0.6079787015914917,22,0.6329786777496338,0.00658,1.38118,2.20209,14.52
resnet18,DTD,full,1,1880,0.6063829660415649,15,0.6255319118499756,0.00659,1.38487,2.20738,14.18
resnet18,DTD,full,2,1880,0.6069148778915405,17,0.6260638236999512,0.00656,1.37559,2.20059,14.51
resnet18,FGVC-Aircraft,5,0,500,0.19801978766918182,171,0.21032102406024933,0.02141,3.61523,3.94108,3.72
resnet18,FGVC-Aircraft,5,1,500,0.21302129328250885,193,0.2052205204963684,0.02112,3.56483,3.82909,3.25
resnet18,FGVC-Aircraft,5,2,500,0.20042003691196442,119,0.20732071995735168,0.02139,3.61623,3.95156,3.26
resnet18,FGVC-Aircraft,10,0,1000,0.264026403427124,198,0.2670266926288605,0.02255,3.19859,3.67256,7.66
resnet18,FGVC-Aircraft,10,1,1000,0.2880287766456604,157,0.2931292951107025,0.02246,3.14974,3.57914,7.46
resnet18,FGVC-Aircraft,10,2,1000,0.2781277894973755,161,0.2760275900363922,0.02175,3.19553,3.67956,8.02
resnet18,FGVC-Aircraft,full,0,3334,0.38163813948631287,159,0.3786378502845764,0.02465,2.5964,3.58391,20.03
resnet18,FGVC-Aircraft,full,1,3334,0.38523849844932556,134,0.38163813948631287,0.02483,2.58888,3.58118,19.04
resnet18,FGVC-Aircraft,full,2,3334,0.3846384584903717,78,0.3843384087085724,0.02455,2.58979,3.59005,19.6
dinov2,FGVC-Aircraft,5,0,500,0.3933393061161041,178,0.4068406820297241,0.00512,2.64057,3.01464,3.45
dinov2,FGVC-Aircraft,5,1,500,0.3759375810623169,193,0.3819381892681122,0.00546,2.73385,3.16378,3.34
dinov2,FGVC-Aircraft,5,2,500,0.3525352478027344,170,0.35703569650650024,0.00517,2.78054,3.22311,3.36
dinov2,FGVC-Aircraft,10,0,1000,0.5250524878501892,197,0.5319531559944153,0.00456,1.9799,2.36529,6.1
dinov2,FGVC-Aircraft,10,1,1000,0.5295529365539551,178,0.5160515904426575,0.00461,1.94626,2.2869,6.24
dinov2,FGVC-Aircraft,10,2,1000,0.5085508227348328,187,0.498049795627594,0.0048,1.97945,2.32086,6.21
dinov2,FGVC-Aircraft,full,0,3334,0.6852685213088989,113,0.6735673546791077,0.00162,1.22362,1.88459,19.86
dinov2,FGVC-Aircraft,full,1,3334,0.6858685612678528,101,0.6741673946380615,0.00162,1.20332,1.91545,20.47
dinov2,FGVC-Aircraft,full,2,3334,0.686768651008606,122,0.6786678433418274,0.00168,1.2112,1.89702,19.49
