encoder,dataset,K,seed,n_train,test_acc,elapsed_s
resnet18,DTD,5,0.0,235,0.4691489338874817,0.00931549999222625
resnet18,DTD,5,1.0,235,0.43936169147491455,0.008290699988720007
resnet18,DTD,5,2.0,235,0.47446808218955994,0.00739770001382567
resnet18,DTD,10,0.0,470,0.507446825504303,0.010536100002354942
resnet18,DTD,10,1.0,470,0.5319148898124695,0.006398900004569441
resnet18,DTD,10,2.0,470,0.5106382966041565,0.0072183000011136755
resnet18,DTD,full,,1880,0.5882978439331055,0.007854100011172704
resnet18,FGVC-Aircraft,5,0.0,500,0.1659165918827057,0.015102300007129088
resnet18,FGVC-Aircraft,5,1.0,500,0.16021601855754852,0.01655190000019502
resnet18,FGVC-Aircraft,5,2.0,500,0.16771677136421204,0.014603799994802102
resnet18,FGVC-Aircraft,10,0.0,1000,0.2013201266527176,0.01291740000306163
resnet18,FGVC-Aircraft,10,1.0,1000,0.2136213630437851,0.012361500004772097
resnet18,FGVC-Aircraft,10,2.0,1000,0.19081908464431763,0.01498629999696277
resnet18,FGVC-Aircraft,full,,3334,0.25472548604011536,0.019059400001424365
dinov2,FGVC-Aircraft,5,0.0,500,0.24332433938980103,0.01416199999221135
dinov2,FGVC-Aircraft,5,1.0,500,0.23522351682186127,0.011759800006984733
dinov2,FGVC-Aircraft,5,2.0,500,0.23522351682186127,0.011520300002302974
dinov2,FGVC-Aircraft,10,0.0,1000,0.27872785925865173,0.012950000003911555
dinov2,FGVC-Aircraft,10,1.0,1000,0.28652864694595337,0.01227130000188481
dinov2,FGVC-Aircraft,10,2.0,1000,0.2670266926288605,0.012479900004109368
dinov2,FGVC-Aircraft,full,,3334,0.34263426065444946,0.014816999988397583
