encoder,dataset,K,seed,stage1_acc,stage2_recomputed,delta_pp
resnet18,DTD,5,0,46.9149,46.9149,0.0
resnet18,DTD,5,1,43.9362,43.9362,0.0
resnet18,DTD,5,2,47.4468,47.4468,0.0
resnet18,DTD,10,0,50.7447,50.7447,0.0
resnet18,DTD,10,1,53.1915,53.1915,0.0
resnet18,DTD,10,2,51.0638,51.0638,0.0
resnet18,DTD,full,NA,58.8298,58.8298,0.0
resnet18,FGVC-Aircraft,5,0,16.5917,16.5917,0.0
resnet18,FGVC-Aircraft,5,1,16.0216,16.0216,0.0
resnet18,FGVC-Aircraft,5,2,16.7717,16.7717,0.0
resnet18,FGVC-Aircraft,10,0,20.132,20.132,0.0
resnet18,FGVC-Aircraft,10,1,21.3621,21.3621,0.0
resnet18,FGVC-Aircraft,10,2,19.0819,19.0819,0.0
resnet18,FGVC-Aircraft,full,NA,25.4725,25.4725,0.0
dinov2,FGVC-Aircraft,5,0,24.3324,24.3324,0.0
dinov2,FGVC-Aircraft,5,1,23.5224,23.5224,0.0
dinov2,FGVC-Aircraft,5,2,23.5224,23.5224,0.0
dinov2,FGVC-Aircraft,10,0,27.8728,27.8728,0.0
dinov2,FGVC-Aircraft,10,1,28.6529,28.6529,0.0
dinov2,FGVC-Aircraft,10,2,26.7027,26.7027,0.0
dinov2,FGVC-Aircraft,full,NA,34.2634,34.2634,0.0
