encoder,dataset,K,T,mean,std,count,baseline,delta_pp,accuracy
resnet18,DTD,5,4,44.47,1.05,3,46.1,-1.63,44.47 +/- 1.05
resnet18,DTD,5,12,44.79,1.01,3,46.1,-1.31,44.79 +/- 1.01
resnet18,DTD,10,4,50.11,0.86,3,51.67,-1.56,50.11 +/- 0.86
resnet18,DTD,10,12,50.34,0.66,3,51.67,-1.33,50.34 +/- 0.66
resnet18,DTD,full,4,59.59,0.61,3,58.83,0.76,59.59 +/- 0.61
resnet18,DTD,full,12,59.56,0.68,3,58.83,0.73,59.56 +/- 0.68
resnet18,FGVC-Aircraft,5,4,18.81,1.01,3,16.46,2.35,18.81 +/- 1.01
resnet18,FGVC-Aircraft,5,12,18.94,1.02,3,16.46,2.48,18.94 +/- 1.02
resnet18,FGVC-Aircraft,10,4,23.68,0.39,3,20.19,3.49,23.68 +/- 0.39
resnet18,FGVC-Aircraft,10,12,23.91,0.32,3,20.19,3.72,23.91 +/- 0.32
resnet18,FGVC-Aircraft,full,4,31.04,0.93,3,25.47,5.57,31.04 +/- 0.93
resnet18,FGVC-Aircraft,full,12,30.97,0.56,3,25.47,5.5,30.97 +/- 0.56
dinov2,FGVC-Aircraft,5,4,33.3,0.68,3,23.79,9.51,33.30 +/- 0.68
dinov2,FGVC-Aircraft,5,12,32.82,0.57,3,23.79,9.03,32.82 +/- 0.57
dinov2,FGVC-Aircraft,10,4,43.27,1.09,3,27.74,15.53,43.27 +/- 1.09
dinov2,FGVC-Aircraft,10,12,42.48,1.16,3,27.74,14.74,42.48 +/- 1.16
dinov2,FGVC-Aircraft,full,4,56.52,0.27,3,34.26,22.25,56.52 +/- 0.27
dinov2,FGVC-Aircraft,full,12,55.7,0.31,3,34.26,21.43,55.70 +/- 0.31
