encoder,dataset,K,T,mean,std,count,baseline,standard_fm,delta_vs_baseline,delta_vs_standard,accuracy
resnet18,DTD,5,4,40.99,1.6,3,46.1,44.47,-5.11,-3.48,40.99 +/- 1.60
resnet18,DTD,5,12,40.87,1.46,3,46.1,44.79,-5.23,-3.92,40.87 +/- 1.46
resnet18,DTD,10,4,44.77,1.58,3,51.67,50.11,-6.9,-5.34,44.77 +/- 1.58
resnet18,DTD,10,12,45.32,1.23,3,51.67,50.34,-6.35,-5.02,45.32 +/- 1.23
resnet18,DTD,full,4,55.85,0.47,3,58.83,59.59,-2.98,-3.74,55.85 +/- 0.47
resnet18,DTD,full,12,55.82,0.32,3,58.83,59.56,-3.01,-3.74,55.82 +/- 0.32
resnet18,FGVC-Aircraft,5,4,16.77,0.84,3,16.46,18.81,0.31,-2.04,16.77 +/- 0.84
resnet18,FGVC-Aircraft,5,12,17.03,0.87,3,16.46,18.94,0.57,-1.91,17.03 +/- 0.87
resnet18,FGVC-Aircraft,10,4,20.34,0.53,3,20.19,23.68,0.15,-3.34,20.34 +/- 0.53
resnet18,FGVC-Aircraft,10,12,20.09,0.24,3,20.19,23.91,-0.1,-3.82,20.09 +/- 0.24
resnet18,FGVC-Aircraft,full,4,25.64,1.72,3,25.47,31.04,0.17,-5.4,25.64 +/- 1.72
resnet18,FGVC-Aircraft,full,12,25.28,1.69,3,25.47,30.97,-0.19,-5.69,25.28 +/- 1.69
dinov2,FGVC-Aircraft,5,4,34.13,0.59,3,23.79,33.3,10.34,0.83,34.13 +/- 0.59
dinov2,FGVC-Aircraft,5,12,33.86,0.58,3,23.79,32.82,10.07,1.04,33.86 +/- 0.58
dinov2,FGVC-Aircraft,10,4,45.42,1.1,3,27.74,43.27,17.68,2.15,45.42 +/- 1.10
dinov2,FGVC-Aircraft,10,12,45.35,0.83,3,27.74,42.48,17.61,2.87,45.35 +/- 0.83
dinov2,FGVC-Aircraft,full,4,52.05,0.91,3,34.26,56.52,17.78,-4.47,52.05 +/- 0.91
dinov2,FGVC-Aircraft,full,12,52.08,0.82,3,34.26,55.7,17.81,-3.62,52.08 +/- 0.82
