encoder,dataset,K,T,loss_start,loss_end,reduction_%,last_10ep_improvement_%,seed_spread_end
resnet18,DTD,5,4,0.5507,0.04124,92.5,14.595,0.000944
resnet18,DTD,5,12,0.5505,0.04423,92.0,13.435,0.000677
resnet18,DTD,10,4,0.5195,0.05979,88.5,8.203,0.000508
resnet18,DTD,10,12,0.5193,0.06263,87.9,8.183,0.000706
resnet18,DTD,full,4,0.4628,0.08632,81.3,1.842,0.000196
resnet18,DTD,full,12,0.4627,0.08701,81.2,1.897,0.000277
resnet18,FGVC-Aircraft,5,4,0.2474,0.03065,87.6,6.305,0.000433
resnet18,FGVC-Aircraft,5,12,0.2471,0.03125,87.4,6.099,0.000425
resnet18,FGVC-Aircraft,10,4,0.2218,0.02838,87.2,4.813,0.000136
resnet18,FGVC-Aircraft,10,12,0.2217,0.02891,87.0,4.559,0.00017
resnet18,FGVC-Aircraft,full,4,0.184,0.0218,88.2,44.149,0.000209
resnet18,FGVC-Aircraft,full,12,0.1841,0.02217,88.0,2.319,0.00017
dinov2,FGVC-Aircraft,5,4,0.4573,0.08665,81.1,3.757,0.000847
dinov2,FGVC-Aircraft,5,12,0.4574,0.0882,80.7,3.592,0.000847
dinov2,FGVC-Aircraft,10,4,0.4325,0.08722,79.8,2.472,0.000381
dinov2,FGVC-Aircraft,10,12,0.4335,0.08816,79.7,2.496,0.000479
dinov2,FGVC-Aircraft,full,4,0.3178,0.06281,80.2,4.134,0.001296
dinov2,FGVC-Aircraft,full,12,0.319,0.06064,81.0,3.496,0.001344
