encoder,dataset,method,step,accuracy
resnet18,DTD,standard FM,0,58.83
resnet18,DTD,standard FM,1,59.26
resnet18,DTD,standard FM,2,59.73
resnet18,DTD,standard FM,3,59.95
resnet18,DTD,standard FM,4,60.0
resnet18,DTD,standard FM,5,60.16
resnet18,DTD,standard FM,6,60.05
resnet18,DTD,standard FM,7,60.37
resnet18,DTD,standard FM,8,60.43
resnet18,DTD,standard FM,9,60.16
resnet18,DTD,standard FM,10,59.84
resnet18,DTD,standard FM,11,59.36
resnet18,DTD,standard FM,12,58.78
resnet18,DTD,rolled-out FM,0,58.83
resnet18,DTD,rolled-out FM,1,58.78
resnet18,DTD,rolled-out FM,2,55.21
resnet18,DTD,rolled-out FM,3,52.29
resnet18,DTD,rolled-out FM,4,50.59
resnet18,DTD,rolled-out FM,5,50.0
resnet18,DTD,rolled-out FM,6,50.59
resnet18,DTD,rolled-out FM,7,51.49
resnet18,DTD,rolled-out FM,8,54.36
resnet18,DTD,rolled-out FM,9,56.81
resnet18,DTD,rolled-out FM,10,57.45
resnet18,DTD,rolled-out FM,11,56.86
resnet18,DTD,rolled-out FM,12,55.48
resnet18,FGVC-Aircraft,standard FM,0,25.47
resnet18,FGVC-Aircraft,standard FM,1,26.76
resnet18,FGVC-Aircraft,standard FM,2,27.78
resnet18,FGVC-Aircraft,standard FM,3,28.35
resnet18,FGVC-Aircraft,standard FM,4,28.95
resnet18,FGVC-Aircraft,standard FM,5,29.73
resnet18,FGVC-Aircraft,standard FM,6,30.39
resnet18,FGVC-Aircraft,standard FM,7,30.33
resnet18,FGVC-Aircraft,standard FM,8,30.66
resnet18,FGVC-Aircraft,standard FM,9,31.08
resnet18,FGVC-Aircraft,standard FM,10,31.38
resnet18,FGVC-Aircraft,standard FM,11,31.62
resnet18,FGVC-Aircraft,standard FM,12,31.26
resnet18,FGVC-Aircraft,rolled-out FM,0,25.47
resnet18,FGVC-Aircraft,rolled-out FM,1,25.44
resnet18,FGVC-Aircraft,rolled-out FM,2,24.66
resnet18,FGVC-Aircraft,rolled-out FM,3,20.85
resnet18,FGVC-Aircraft,rolled-out FM,4,18.09
resnet18,FGVC-Aircraft,rolled-out FM,5,16.98
resnet18,FGVC-Aircraft,rolled-out FM,6,16.32
resnet18,FGVC-Aircraft,rolled-out FM,7,16.62
resnet18,FGVC-Aircraft,rolled-out FM,8,17.61
resnet18,FGVC-Aircraft,rolled-out FM,9,19.44
resnet18,FGVC-Aircraft,rolled-out FM,10,22.14
resnet18,FGVC-Aircraft,rolled-out FM,11,25.89
resnet18,FGVC-Aircraft,rolled-out FM,12,25.68
dinov2,FGVC-Aircraft,standard FM,0,34.26
dinov2,FGVC-Aircraft,standard FM,1,35.73
dinov2,FGVC-Aircraft,standard FM,2,36.93
dinov2,FGVC-Aircraft,standard FM,3,38.97
dinov2,FGVC-Aircraft,standard FM,4,40.92
dinov2,FGVC-Aircraft,standard FM,5,42.6
dinov2,FGVC-Aircraft,standard FM,6,44.91
dinov2,FGVC-Aircraft,standard FM,7,47.58
dinov2,FGVC-Aircraft,standard FM,8,50.17
dinov2,FGVC-Aircraft,standard FM,9,51.79
dinov2,FGVC-Aircraft,standard FM,10,53.56
dinov2,FGVC-Aircraft,standard FM,11,55.42
dinov2,FGVC-Aircraft,standard FM,12,56.05
dinov2,FGVC-Aircraft,rolled-out FM,0,34.26
dinov2,FGVC-Aircraft,rolled-out FM,1,43.02
dinov2,FGVC-Aircraft,rolled-out FM,2,45.21
dinov2,FGVC-Aircraft,rolled-out FM,3,46.5
dinov2,FGVC-Aircraft,rolled-out FM,4,47.55
dinov2,FGVC-Aircraft,rolled-out FM,5,48.9
dinov2,FGVC-Aircraft,rolled-out FM,6,50.32
dinov2,FGVC-Aircraft,rolled-out FM,7,51.7
dinov2,FGVC-Aircraft,rolled-out FM,8,52.75
dinov2,FGVC-Aircraft,rolled-out FM,9,53.29
dinov2,FGVC-Aircraft,rolled-out FM,10,53.62
dinov2,FGVC-Aircraft,rolled-out FM,11,53.2
dinov2,FGVC-Aircraft,rolled-out FM,12,52.33
