encoder,dataset,method,step,dist_own,dist_nearest_other
resnet18,DTD,standard FM,0,0.7068,0.7292
resnet18,DTD,standard FM,1,0.6526,0.678
resnet18,DTD,standard FM,2,0.6067,0.6346
resnet18,DTD,standard FM,3,0.5681,0.5981
resnet18,DTD,standard FM,4,0.5358,0.5675
resnet18,DTD,standard FM,5,0.5091,0.5421
resnet18,DTD,standard FM,6,0.4872,0.5211
resnet18,DTD,standard FM,7,0.4696,0.504
resnet18,DTD,standard FM,8,0.4556,0.4902
resnet18,DTD,standard FM,9,0.4447,0.4792
resnet18,DTD,standard FM,10,0.4367,0.4708
resnet18,DTD,standard FM,11,0.4311,0.4645
resnet18,DTD,standard FM,12,0.4276,0.4601
resnet18,DTD,rolled-out FM,0,0.7068,0.7292
resnet18,DTD,rolled-out FM,1,0.7569,0.7789
resnet18,DTD,rolled-out FM,2,0.8972,0.9118
resnet18,DTD,rolled-out FM,3,1.0165,1.0249
resnet18,DTD,rolled-out FM,4,1.0774,1.0821
resnet18,DTD,rolled-out FM,5,1.0747,1.0781
resnet18,DTD,rolled-out FM,6,1.0159,1.0202
resnet18,DTD,rolled-out FM,7,0.9141,0.921
resnet18,DTD,rolled-out FM,8,0.7845,0.7957
resnet18,DTD,rolled-out FM,9,0.6437,0.6601
resnet18,DTD,rolled-out FM,10,0.5101,0.5319
resnet18,DTD,rolled-out FM,11,0.4077,0.4328
resnet18,DTD,rolled-out FM,12,0.3673,0.3883
resnet18,FGVC-Aircraft,standard FM,0,0.4467,0.4257
resnet18,FGVC-Aircraft,standard FM,1,0.4081,0.3884
resnet18,FGVC-Aircraft,standard FM,2,0.3744,0.3558
resnet18,FGVC-Aircraft,standard FM,3,0.3451,0.3276
resnet18,FGVC-Aircraft,standard FM,4,0.3197,0.3033
resnet18,FGVC-Aircraft,standard FM,5,0.2978,0.2825
resnet18,FGVC-Aircraft,standard FM,6,0.2792,0.2647
resnet18,FGVC-Aircraft,standard FM,7,0.2635,0.2497
resnet18,FGVC-Aircraft,standard FM,8,0.2503,0.2372
resnet18,FGVC-Aircraft,standard FM,9,0.2394,0.2267
resnet18,FGVC-Aircraft,standard FM,10,0.2306,0.2182
resnet18,FGVC-Aircraft,standard FM,11,0.2235,0.2112
resnet18,FGVC-Aircraft,standard FM,12,0.218,0.2057
resnet18,FGVC-Aircraft,rolled-out FM,0,0.4467,0.4257
resnet18,FGVC-Aircraft,rolled-out FM,1,0.5548,0.5416
resnet18,FGVC-Aircraft,rolled-out FM,2,0.7711,0.7614
resnet18,FGVC-Aircraft,rolled-out FM,3,0.9553,0.9463
resnet18,FGVC-Aircraft,rolled-out FM,4,1.072,1.0627
resnet18,FGVC-Aircraft,rolled-out FM,5,1.1138,1.1042
resnet18,FGVC-Aircraft,rolled-out FM,6,1.0839,1.0742
resnet18,FGVC-Aircraft,rolled-out FM,7,0.9912,0.9816
resnet18,FGVC-Aircraft,rolled-out FM,8,0.848,0.8387
resnet18,FGVC-Aircraft,rolled-out FM,9,0.6686,0.6597
resnet18,FGVC-Aircraft,rolled-out FM,10,0.4693,0.4605
resnet18,FGVC-Aircraft,rolled-out FM,11,0.2743,0.2637
resnet18,FGVC-Aircraft,rolled-out FM,12,0.1677,0.15
dinov2,FGVC-Aircraft,standard FM,0,0.7225,0.6896
dinov2,FGVC-Aircraft,standard FM,1,0.6724,0.6432
dinov2,FGVC-Aircraft,standard FM,2,0.624,0.599
dinov2,FGVC-Aircraft,standard FM,3,0.5775,0.5573
dinov2,FGVC-Aircraft,standard FM,4,0.5333,0.5183
dinov2,FGVC-Aircraft,standard FM,5,0.4921,0.4828
dinov2,FGVC-Aircraft,standard FM,6,0.4547,0.4511
dinov2,FGVC-Aircraft,standard FM,7,0.422,0.4239
dinov2,FGVC-Aircraft,standard FM,8,0.3946,0.4016
dinov2,FGVC-Aircraft,standard FM,9,0.3729,0.384
dinov2,FGVC-Aircraft,standard FM,10,0.3568,0.371
dinov2,FGVC-Aircraft,standard FM,11,0.3458,0.3622
dinov2,FGVC-Aircraft,standard FM,12,0.3393,0.3568
dinov2,FGVC-Aircraft,rolled-out FM,0,0.7225,0.6896
dinov2,FGVC-Aircraft,rolled-out FM,1,0.6453,0.641
dinov2,FGVC-Aircraft,rolled-out FM,2,0.6628,0.6616
dinov2,FGVC-Aircraft,rolled-out FM,3,0.6493,0.6501
dinov2,FGVC-Aircraft,rolled-out FM,4,0.6144,0.6169
dinov2,FGVC-Aircraft,rolled-out FM,5,0.5659,0.57
dinov2,FGVC-Aircraft,rolled-out FM,6,0.5113,0.5173
dinov2,FGVC-Aircraft,rolled-out FM,7,0.4549,0.463
dinov2,FGVC-Aircraft,rolled-out FM,8,0.4006,0.4105
dinov2,FGVC-Aircraft,rolled-out FM,9,0.352,0.3631
dinov2,FGVC-Aircraft,rolled-out FM,10,0.3128,0.3241
dinov2,FGVC-Aircraft,rolled-out FM,11,0.2866,0.2968
dinov2,FGVC-Aircraft,rolled-out FM,12,0.2766,0.2842
