encoder,dataset,K,seed,T,method,test_acc
resnet18,DTD,5,0.0,,prototype_baseline,46.91489338874817
resnet18,DTD,5,1.0,,prototype_baseline,43.93616914749145
resnet18,DTD,5,2.0,,prototype_baseline,47.44680821895599
resnet18,DTD,10,0.0,,prototype_baseline,50.7446825504303
resnet18,DTD,10,1.0,,prototype_baseline,53.19148898124695
resnet18,DTD,10,2.0,,prototype_baseline,51.06382966041565
resnet18,DTD,full,,,prototype_baseline,58.82978439331055
resnet18,FGVC-Aircraft,5,0.0,,prototype_baseline,16.59165918827057
resnet18,FGVC-Aircraft,5,1.0,,prototype_baseline,16.02160185575485
resnet18,FGVC-Aircraft,5,2.0,,prototype_baseline,16.7716771364212
resnet18,FGVC-Aircraft,10,0.0,,prototype_baseline,20.13201266527176
resnet18,FGVC-Aircraft,10,1.0,,prototype_baseline,21.36213630437851
resnet18,FGVC-Aircraft,10,2.0,,prototype_baseline,19.08190846443176
resnet18,FGVC-Aircraft,full,,,prototype_baseline,25.47254860401153
dinov2,FGVC-Aircraft,5,0.0,,prototype_baseline,24.3324339389801
dinov2,FGVC-Aircraft,5,1.0,,prototype_baseline,23.52235168218612
dinov2,FGVC-Aircraft,5,2.0,,prototype_baseline,23.52235168218612
dinov2,FGVC-Aircraft,10,0.0,,prototype_baseline,27.872785925865166
dinov2,FGVC-Aircraft,10,1.0,,prototype_baseline,28.65286469459533
dinov2,FGVC-Aircraft,10,2.0,,prototype_baseline,26.702669262886047
dinov2,FGVC-Aircraft,full,,,prototype_baseline,34.26342606544494
resnet18,DTD,5,0.0,4.0,standard_fm,45.638296008110046
resnet18,DTD,5,0.0,12.0,standard_fm,45.90425491333008
resnet18,DTD,5,1.0,4.0,standard_fm,43.617019057273865
resnet18,DTD,5,1.0,12.0,standard_fm,43.936169147491455
resnet18,DTD,5,2.0,4.0,standard_fm,44.14893388748169
resnet18,DTD,5,2.0,12.0,standard_fm,44.52127516269684
resnet18,DTD,10,0.0,4.0,standard_fm,49.99999701976776
resnet18,DTD,10,0.0,12.0,standard_fm,50.15957355499268
resnet18,DTD,10,1.0,4.0,standard_fm,49.30850863456726
resnet18,DTD,10,1.0,12.0,standard_fm,49.78723227977753
resnet18,DTD,10,2.0,4.0,standard_fm,51.01063847541809
resnet18,DTD,10,2.0,12.0,standard_fm,51.06382966041565
resnet18,DTD,full,0.0,4.0,standard_fm,58.882975578308105
resnet18,DTD,full,0.0,12.0,standard_fm,58.77659320831299
resnet18,DTD,full,1.0,4.0,standard_fm,59.94680523872376
resnet18,DTD,full,1.0,12.0,standard_fm,59.84042286872864
resnet18,DTD,full,2.0,4.0,standard_fm,59.94680523872376
resnet18,DTD,full,2.0,12.0,standard_fm,60.05318760871887
resnet18,FGVC-Aircraft,5,0.0,4.0,standard_fm,18.72187107801437
