encoder,dataset,K,seed,T,method,n_train,test_acc,final_loss,elapsed_s
resnet18,DTD,5,0,4,rolled_out_fm,235,42.553189396858215,0.040140047669410706,3.7
resnet18,DTD,5,0,12,rolled_out_fm,235,42.34042465686798,0.043276865035295486,7.69
resnet18,DTD,5,1,4,rolled_out_fm,235,41.06382727622986,0.041140053421258926,3.12
resnet18,DTD,5,1,12,rolled_out_fm,235,40.851062536239624,0.04469316452741623,7.8
resnet18,DTD,5,2,4,rolled_out_fm,235,39.36170041561127,0.04244602099061012,3.08
resnet18,DTD,5,2,12,rolled_out_fm,235,39.414891600608826,0.044733189046382904,7.86
resnet18,DTD,10,0,4,rolled_out_fm,470,44.999998807907104,0.059358492493629456,6.11
resnet18,DTD,10,0,12,rolled_out_fm,470,45.42553126811981,0.062005721032619476,16.26
resnet18,DTD,10,1,4,rolled_out_fm,470,43.08510422706604,0.059513576328754425,6.77
resnet18,DTD,10,1,12,rolled_out_fm,470,44.04255151748657,0.0622740276157856,16.14
resnet18,DTD,10,2,4,rolled_out_fm,470,46.22340202331543,0.060504406690597534,6.11
resnet18,DTD,10,2,12,rolled_out_fm,470,46.48936092853546,0.0636197030544281,19.57
resnet18,DTD,full,0,4,rolled_out_fm,1880,55.31914830207825,0.08645625412464142,25.83
resnet18,DTD,full,0,12,rolled_out_fm,1880,55.47872185707092,0.08703991770744324,73.02
resnet18,DTD,full,1,4,rolled_out_fm,1880,56.22340440750122,0.0860399454832077,29.83
resnet18,DTD,full,1,12,rolled_out_fm,1880,56.1170220375061,0.08665668964385986,76.92
resnet18,DTD,full,2,4,rolled_out_fm,1880,56.01063370704651,0.08645664155483246,30.64
resnet18,DTD,full,2,12,rolled_out_fm,1880,55.85106015205383,0.08733344823122025,75.11
resnet18,FGVC-Aircraft,5,0,4,rolled_out_fm,500,15.87158590555191,0.03013950027525425,8.24
resnet18,FGVC-Aircraft,5,0,12,rolled_out_fm,500,16.051603853702545,0.030891014263033867,19.81
resnet18,FGVC-Aircraft,5,1,4,rolled_out_fm,500,16.921691596508026,0.031196869909763336,8.14
resnet18,FGVC-Aircraft,5,1,12,rolled_out_fm,500,17.311730980873108,0.03184753283858299,20.31
resnet18,FGVC-Aircraft,5,2,4,rolled_out_fm,500,17.521750926971436,0.0306086465716362,8.6
resnet18,FGVC-Aircraft,5,2,12,rolled_out_fm,500,17.731772363185883,0.031016068533062935,19.43
resnet18,FGVC-Aircraft,10,0,4,rolled_out_fm,1000,20.822080969810486,0.02820560149848461,16.37
resnet18,FGVC-Aircraft,10,0,12,rolled_out_fm,1000,19.921991229057312,0.028723806142807007,41.43
resnet18,FGVC-Aircraft,10,1,4,rolled_out_fm,1000,20.432043075561523,0.028533663600683212,20.06
resnet18,FGVC-Aircraft,10,1,12,rolled_out_fm,1000,20.3720360994339,0.02913655899465084,66.28
resnet18,FGVC-Aircraft,10,2,4,rolled_out_fm,1000,19.77197676897049,0.028413590043783188,25.14
resnet18,FGVC-Aircraft,10,2,12,rolled_out_fm,1000,19.981996715068817,0.028877824544906616,53.14
