encoder,dataset,K,seed,T,method,n_train,test_acc,final_loss,elapsed_s
resnet18,DTD,5,0,4,rolled_out_fm,235,42.4468070268631,0.0419287234544754,3.87
resnet18,DTD,5,0,12,rolled_out_fm,235,42.234042286872864,0.04501383751630783,8.18
resnet18,DTD,5,1,4,rolled_out_fm,235,41.117021441459656,0.042047422379255295,3.21
resnet18,DTD,5,1,12,rolled_out_fm,235,41.489359736442566,0.044837117195129395,8.38
resnet18,DTD,5,2,4,rolled_out_fm,235,39.25531804561615,0.043823253363370895,3.58
resnet18,DTD,5,2,12,rolled_out_fm,235,39.57446813583374,0.0464923121035099,6.18
resnet18,DTD,10,0,4,rolled_out_fm,470,45.638296008110046,0.05960537865757942,6.05
resnet18,DTD,10,0,12,rolled_out_fm,470,45.85106372833252,0.06297251582145691,15.43
resnet18,DTD,10,1,4,rolled_out_fm,470,43.40425431728363,0.06024109199643135,7.02
resnet18,DTD,10,1,12,rolled_out_fm,470,43.989360332489014,0.06229729577898979,12.1
resnet18,DTD,10,2,4,rolled_out_fm,470,45.90425491333008,0.06156357377767563,4.51
resnet18,DTD,10,2,12,rolled_out_fm,470,46.22340202331543,0.06457922607660294,15.54
resnet18,DTD,full,0,4,rolled_out_fm,1880,55.21276593208313,0.08662811666727066,19.57
resnet18,DTD,full,0,12,rolled_out_fm,1880,55.372339487075806,0.08723746985197067,53.99
resnet18,DTD,full,1,4,rolled_out_fm,1880,56.22340440750122,0.08614411950111389,19.92
resnet18,DTD,full,1,12,rolled_out_fm,1880,56.01063370704651,0.0867837518453598,50.32
resnet18,DTD,full,2,4,rolled_out_fm,1880,55.90425133705139,0.08659970760345459,20.92
resnet18,DTD,full,2,12,rolled_out_fm,1880,55.85106015205383,0.08751900494098663,51.38
resnet18,FGVC-Aircraft,5,0,4,rolled_out_fm,500,16.201619803905487,0.030562464147806168,6.14
resnet18,FGVC-Aircraft,5,0,12,rolled_out_fm,500,16.441643238067627,0.03120417520403862,13.3
resnet18,FGVC-Aircraft,5,1,4,rolled_out_fm,500,16.891688108444214,0.03145890682935715,5.93
resnet18,FGVC-Aircraft,5,1,12,rolled_out_fm,500,17.041704058647156,0.032176148146390915,13.12
resnet18,FGVC-Aircraft,5,2,4,rolled_out_fm,500,17.011700570583344,0.03084532730281353,5.11
resnet18,FGVC-Aircraft,5,2,12,rolled_out_fm,500,16.261625289916992,0.031620945781469345,13.02
resnet18,FGVC-Aircraft,10,0,4,rolled_out_fm,1000,20.822080969810486,0.02848430909216404,9.73
resnet18,FGVC-Aircraft,10,0,12,rolled_out_fm,1000,19.801978766918182,0.028902839869260788,22.38
resnet18,FGVC-Aircraft,10,1,4,rolled_out_fm,1000,20.312030613422394,0.028779316693544388,10.85
resnet18,FGVC-Aircraft,10,1,12,rolled_out_fm,1000,20.912089943885803,0.02936038374900818,26.36
resnet18,FGVC-Aircraft,10,2,4,rolled_out_fm,1000,20.25202512741089,0.028587287291884422,8.59
resnet18,FGVC-Aircraft,10,2,12,rolled_out_fm,1000,20.072005689144135,0.029076050966978073,26.81
resnet18,FGVC-Aircraft,full,0,4,rolled_out_fm,3334,25.41254162788391,0.021844062954187393,31.94
resnet18,FGVC-Aircraft,full,0,12,rolled_out_fm,3334,25.682568550109863,0.022074101492762566,83.77
resnet18,FGVC-Aircraft,full,1,4,rolled_out_fm,3334,23.732371628284454,0.09175216406583786,30.75
resnet18,FGVC-Aircraft,full,1,12,rolled_out_fm,3334,26.702669262886047,0.0224606916308403,81.76
resnet18,FGVC-Aircraft,full,2,4,rolled_out_fm,3334,14.731472730636597,1.09872567653656,30.82
resnet18,FGVC-Aircraft,full,2,12,rolled_out_fm,3334,23.43234270811081,0.022107135504484177,98.63
dinov2,FGVC-Aircraft,5,0,4,rolled_out_fm,500,34.17341709136963,0.08795567601919174,6.01
dinov2,FGVC-Aircraft,5,0,12,rolled_out_fm,500,34.17341709136963,0.08949347585439682,15.55
