encoder,dataset,K,seed,T,method,n_train,test_acc,final_loss,elapsed_s
resnet18,DTD,5,0,4,standard_fm,235,45.638296008110046,0.16134634613990784,1.54
resnet18,DTD,5,0,12,standard_fm,235,45.90425491333008,0.16134634613990784,1.54
resnet18,DTD,5,1,4,standard_fm,235,43.617019057273865,0.15980501472949982,1.07
resnet18,DTD,5,1,12,standard_fm,235,43.936169147491455,0.15980501472949982,1.07
resnet18,DTD,5,2,4,standard_fm,235,44.14893388748169,0.16441665589809418,1.04
resnet18,DTD,5,2,12,standard_fm,235,44.52127516269684,0.16441665589809418,1.04
resnet18,DTD,10,0,4,standard_fm,470,49.99999701976776,0.18851792812347412,2.03
resnet18,DTD,10,0,12,standard_fm,470,50.159573554992676,0.18851792812347412,2.03
resnet18,DTD,10,1,4,standard_fm,470,49.30850863456726,0.18564361333847046,1.98
resnet18,DTD,10,1,12,standard_fm,470,49.78723227977753,0.18564361333847046,1.98
resnet18,DTD,10,2,4,standard_fm,470,51.01063847541809,0.18518301844596863,1.99
resnet18,DTD,10,2,12,standard_fm,470,51.06382966041565,0.18518301844596863,1.99
resnet18,DTD,full,0,4,standard_fm,1880,58.882975578308105,0.20390595495700836,7.6
resnet18,DTD,full,0,12,standard_fm,1880,58.77659320831299,0.20390595495700836,7.6
resnet18,DTD,full,1,4,standard_fm,1880,59.946805238723755,0.2001570463180542,7.45
resnet18,DTD,full,1,12,standard_fm,1880,59.84042286872864,0.2001570463180542,7.45
resnet18,DTD,full,2,4,standard_fm,1880,59.946805238723755,0.20120467245578766,8.08
resnet18,DTD,full,2,12,standard_fm,1880,60.05318760871887,0.20120467245578766,8.08
resnet18,FGVC-Aircraft,5,0,4,standard_fm,500,18.721871078014374,0.08219512552022934,2.11
resnet18,FGVC-Aircraft,5,0,12,standard_fm,500,18.961896002292633,0.08219512552022934,2.11
resnet18,FGVC-Aircraft,5,1,4,standard_fm,500,17.851784825325012,0.08372558653354645,2.23
resnet18,FGVC-Aircraft,5,1,12,standard_fm,500,17.911790311336517,0.08372558653354645,2.23
resnet18,FGVC-Aircraft,5,2,4,standard_fm,500,19.861985743045807,0.08214573562145233,2.08
resnet18,FGVC-Aircraft,5,2,12,standard_fm,500,19.951994717121124,0.08214573562145233,2.08
resnet18,FGVC-Aircraft,10,0,4,standard_fm,1000,23.31233024597168,0.0837530568242073,4.21
resnet18,FGVC-Aircraft,10,0,12,standard_fm,1000,23.67236614227295,0.0837530568242073,4.21
resnet18,FGVC-Aircraft,10,1,4,standard_fm,1000,24.092409014701843,0.08531124889850616,4.2
resnet18,FGVC-Aircraft,10,1,12,standard_fm,1000,24.272426962852478,0.08531124889850616,4.2
resnet18,FGVC-Aircraft,10,2,4,standard_fm,1000,23.642362654209137,0.08440956473350525,4.13
resnet18,FGVC-Aircraft,10,2,12,standard_fm,1000,23.79237860441208,0.08440956473350525,4.13
resnet18,FGVC-Aircraft,full,0,4,standard_fm,3334,31.533151865005493,0.07834122329950333,13.57
resnet18,FGVC-Aircraft,full,0,12,standard_fm,3334,31.26312494277954,0.07834122329950333,13.57
resnet18,FGVC-Aircraft,full,1,4,standard_fm,3334,31.62316083908081,0.08201871067285538,13.69
resnet18,FGVC-Aircraft,full,1,12,standard_fm,3334,31.323131918907166,0.08201871067285538,13.69
resnet18,FGVC-Aircraft,full,2,4,standard_fm,3334,29.972997307777405,0.07907146215438843,13.92
resnet18,FGVC-Aircraft,full,2,12,standard_fm,3334,30.333033204078674,0.07907146215438843,13.92
dinov2,FGVC-Aircraft,5,0,4,standard_fm,500,33.873385190963745,0.2069627046585083,2.32
dinov2,FGVC-Aircraft,5,0,12,standard_fm,500,33.45334529876709,0.2069627046585083,2.32
dinov2,FGVC-Aircraft,5,1,4,standard_fm,500,33.48334729671478,0.20595139265060425,2.19
dinov2,FGVC-Aircraft,5,1,12,standard_fm,500,32.673266530036926,0.20595139265060425,2.19
dinov2,FGVC-Aircraft,5,2,4,standard_fm,500,32.55325257778168,0.20616714656352997,2.24
dinov2,FGVC-Aircraft,5,2,12,standard_fm,500,32.34323263168335,0.20616714656352997,2.24
dinov2,FGVC-Aircraft,10,0,4,standard_fm,1000,43.59435737133026,0.2133960872888565,4.23
dinov2,FGVC-Aircraft,10,0,12,standard_fm,1000,42.96429455280304,0.2133960872888565,4.23
dinov2,FGVC-Aircraft,10,1,4,standard_fm,1000,44.16441321372986,0.21286559104919434,3.95
dinov2,FGVC-Aircraft,10,1,12,standard_fm,1000,43.32433044910431,0.21286559104919434,3.95
dinov2,FGVC-Aircraft,10,2,4,standard_fm,1000,42.064204812049866,0.21366046369075775,3.97
dinov2,FGVC-Aircraft,10,2,12,standard_fm,1000,41.16411507129669,0.21366046369075775,3.97
dinov2,FGVC-Aircraft,full,0,4,standard_fm,3334,56.5556526184082,0.16903090476989746,13.08
dinov2,FGVC-Aircraft,full,0,12,standard_fm,3334,56.04560375213623,0.16903090476989746,13.08
dinov2,FGVC-Aircraft,full,1,4,standard_fm,3334,56.225621700286865,0.17854753136634827,13.52
dinov2,FGVC-Aircraft,full,1,12,standard_fm,3334,55.56555390357971,0.17854753136634827,13.52
dinov2,FGVC-Aircraft,full,2,4,standard_fm,3334,56.76567554473877,0.16987229883670807,16.03
dinov2,FGVC-Aircraft,full,2,12,standard_fm,3334,55.475544929504395,0.16987229883670807,16.03
