config,encoder,dataset,seed,lr,displacement_weight,velocity_weight,baseline_acc,test_acc,delta_pp,best_val_acc,best_epoch,final_train_loss,mean_displacement,relative_displacement,n_params,elapsed_s
main,resnet18,DTD,0,0.001,0.0,0.0,0.5117021203041077,0.5106382966041565,-0.10638236999511719,0.5085106492042542,1,2.5145466224785196e-06,1.8559284210205078,0.07814667038135494,788480,11.993502199999057
main,resnet18,DTD,1,0.001,0.0,0.0,0.5159574151039124,0.5106382966041565,-0.5319118499755859,0.5106382966041565,1,1.8835023638530402e-06,2.3121986389160156,0.09735861730714387,788480,11.6741033999715
main,resnet18,DTD,2,0.001,0.0,0.0,0.5335106253623962,0.5244680643081665,-0.9042561054229736,0.5154255032539368,0,1.512686367277638e-06,1.2733099460601807,0.053614639186004606,788480,12.07697689998895
main,dinov2,FGVC-Aircraft,0,0.001,0.0,0.0,0.5319531559944153,0.5262526273727417,-0.5700528621673584,0.5265526175498962,19,8.330338800988102e-07,6.122931957244873,0.12326978843557587,657280,23.206582300015725
main,dinov2,FGVC-Aircraft,1,0.001,0.0,0.0,0.5160515904426575,0.5223522186279297,0.6300628185272217,0.5313531160354614,22,7.928603622531227e-07,12.640386581420898,0.25448229549439205,657280,23.648304700036533
main,dinov2,FGVC-Aircraft,2,0.001,0.0,0.0,0.498049795627594,0.5145514607429504,1.6501665115356445,0.5190519094467163,16,1.3245376067061443e-05,14.185640335083008,0.28559208156147736,657280,23.04257619997952
main,resnet18,FGVC-Aircraft,0,0.001,0.0,0.0,0.2670266926288605,0.2781277894973755,1.1101096868515015,0.27272725105285645,11,3.625153510711243e-07,3.182802438735962,0.11023663081900736,788480,22.114900299930014
main,resnet18,FGVC-Aircraft,1,0.001,0.0,0.0,0.2931292951107025,0.29012900590896606,-0.300028920173645,0.29102909564971924,12,8.627168881503167e-07,3.630125045776367,0.12572968702921086,788480,22.482318100053817
main,resnet18,FGVC-Aircraft,2,0.001,0.0,0.0,0.2760275900363922,0.27992796897888184,0.3900378942489624,0.27872785925865173,1,4.4250475639273645e-07,0.4750713109970093,0.016454134911332352,788480,21.86665879993234
lr=0.0001,resnet18,DTD,0,0.0001,0.0,0.0,0.5117021203041077,0.5106382966041565,-0.10638236999511719,0.5117021203041077,4,0.0002503629366401583,0.5360927581787109,0.022572995592247694,788480,11.244613799965009
lr=0.0001,resnet18,DTD,1,0.0001,0.0,0.0,0.5159574151039124,0.5202127695083618,0.4255354404449463,0.5164893269538879,8,0.0001137068320531398,1.2325588464736938,0.051898752565058374,788480,11.465459799976088
lr=0.0001,resnet18,DTD,2,0.0001,0.0,0.0,0.5335106253623962,0.5335106253623962,0.0,0.5244680643081665,0,0.00011985939636360854,0.06761734932661057,0.002847130659803167,788480,12.43067459994927
lr=0.0001,dinov2,FGVC-Aircraft,0,0.0001,0.0,0.0,0.5319531559944153,0.5457545518875122,1.3801395893096924,0.5580557584762573,66,1.7441485624658526e-06,33.52798080444336,0.6750013113481496,657280,22.27393640007358
lr=0.0001,dinov2,FGVC-Aircraft,1,0.0001,0.0,0.0,0.5160515904426575,0.5496549606323242,3.360337018966675,0.5535553097724915,71,2.200956942033372e-06,40.00732421875,0.8054465453406591,657280,21.74331990000792
lr=0.0001,dinov2,FGVC-Aircraft,2,0.0001,0.0,0.0,0.498049795627594,0.5283527970314026,3.0303001403808594,0.5382537841796875,33,2.1139346699783346e-06,20.01405906677246,0.4029325891787781,657280,22.512821899959818
lr=0.0001,resnet18,FGVC-Aircraft,0,0.0001,0.0,0.0,0.2670266926288605,0.28982898592948914,2.280229330062866,0.28142812848091125,35,1.909511411213316e-05,9.569780349731445,0.331450149275147,788480,22.024046499980614
lr=0.0001,resnet18,FGVC-Aircraft,1,0.0001,0.0,0.0,0.2931292951107025,0.2970297038555145,0.39004087448120117,0.2964296340942383,19,7.055779860820621e-05,4.6894025802612305,0.16241785374754839,788480,22.258900000015274
