encoder,dataset,eta,base_acc,target_acc,base_ce,target_ce,moved,moved_rel,raw_grad_norm
resnet18,DTD,0.5,0.963829755783081,0.985106348991394,0.5941947102546692,0.4377761781215668,0.4999999701976776,0.021175233647227287,0.000744923367165029
resnet18,DTD,1.0,0.963829755783081,0.9914893507957458,0.5941947102546692,0.31593871116638184,0.9999999403953552,0.042350467294454575,0.000744923367165029
resnet18,DTD,2.0,0.963829755783081,0.9999999403953552,0.5941947102546692,0.15596990287303925,1.9999998807907104,0.08470093458890915,0.000744923367165029
resnet18,DTD,4.0,0.963829755783081,0.9999999403953552,0.5941947102546692,0.03278554603457451,3.999999761581421,0.1694018691778183,0.000744923367165029
dinov2,FGVC-Aircraft,0.5,1.0,1.0,0.004540871363133192,0.002098789205774665,0.5,0.010066698305308819,7.071441359585151e-06
dinov2,FGVC-Aircraft,1.0,1.0,1.0,0.004540871363133192,0.000984475133009255,1.0,0.020133396610617638,7.071441359585151e-06
dinov2,FGVC-Aircraft,2.0,1.0,1.0,0.004540871363133192,0.00022711095516569912,2.0,0.040266793221235275,7.071441359585151e-06
dinov2,FGVC-Aircraft,4.0,1.0,1.0,0.004540871363133192,1.4699313396704383e-05,4.0,0.08053358644247055,7.071441359585151e-06
resnet18,FGVC-Aircraft,0.5,1.0,1.0,0.022229483351111412,0.004150833934545517,0.5,0.01727902702987194,7.527594425482675e-05
resnet18,FGVC-Aircraft,1.0,1.0,1.0,0.022229483351111412,0.0008173675742000341,1.0,0.03455805405974388,7.527594425482675e-05
resnet18,FGVC-Aircraft,2.0,1.0,1.0,0.022229483351111412,3.921226743841544e-05,2.0,0.06911610811948776,7.527594425482675e-05
resnet18,FGVC-Aircraft,4.0,1.0,1.0,0.022229483351111412,2.095698476978214e-07,4.0,0.13823221623897552,7.527594425482675e-05
