strategy,config,val,test_delta
Strategy 1,lr=0.0001,0.45141226053237915,1.2655847602420383
Strategy 1,lr=1e-05,0.44697848955790204,1.2064923842748005
Strategy 1,disp=0.001,0.44616495238410103,0.701753298441569
Strategy 1,vel=0.001,0.44602855377727085,0.7813082800971137
Strategy 1,vel=0.01,0.4437359008524153,0.5564384990268283
Strategy 1,disp=0.01,0.44355859690242344,0.6388756963941786
Strategy 1,disp=0.1,0.4398763179779053,0.289892488055759
Strategy 1,vel=0.1,0.4395959542857276,0.3227767017152574
Strategy 1,main,0.4393351442284054,0.15197164482540554
Strategy 2,refresh=10,0.45612220962842304,1.8153667449951172
Strategy 2,main,0.4543796545929379,1.3962285386191473
Strategy 2,eta=0.5,0.4542690184381273,1.533518566025628
Strategy 2,eta=4,0.4538703527715471,1.1780152718226116
Strategy 2,eta=2,0.45332035091188216,1.5371574295891657
Strategy 2,refresh=50,0.4529232548342811,1.5904857052697077
Strategy 2,steps=3,0.4526248044437832,1.1240661144256592
Strategy 2,lr=0.001,0.45131416784392464,0.9443637397554185
Strategy 2,lr=1e-05,0.4471302529176076,0.8938958247502645
Strategy 2,raw_eta=10000,0.44263410237100387,0.462622774971856
Strategy 2,raw_eta=1000,0.4396626220809089,0.16289816962348092
