config,encoder,dataset,seed,use_flow,flow_lr,classifier_lr,unfreeze_epoch,baseline_acc,test_acc,delta_pp,best_val_acc,best_epoch,classifier_drift,relative_displacement,elapsed_s
clf_only,resnet18,DTD,0,False,0.0001,0.0001,0,0.5117021203041077,0.5111702084541321,-0.053191184997558594,0.5106382966041565,2,0.020001767203211784,0.0,2.8501130000222474
clf_only,resnet18,DTD,1,False,0.0001,0.0001,0,0.5159574151039124,0.5180850625038147,0.21276473999023438,0.5122340321540833,4,0.020450634881854057,0.0,2.771413500071503
clf_only,resnet18,DTD,2,False,0.0001,0.0001,0,0.5335106253623962,0.5324468016624451,-0.10638236999511719,0.5249999761581421,17,0.07342899590730667,0.0,2.719521699938923
clf_only,dinov2,FGVC-Aircraft,0,False,0.0001,0.0001,0,0.5319531559944153,0.5343534350395203,0.24002790451049805,0.5295529365539551,195,0.2863355278968811,0.0,5.410625999909826
clf_only,dinov2,FGVC-Aircraft,1,False,0.0001,0.0001,0,0.5160515904426575,0.5229522585868835,0.6900668144226074,0.534053385257721,140,0.23032359778881073,0.0,5.361867300001904
clf_only,dinov2,FGVC-Aircraft,2,False,0.0001,0.0001,0,0.498049795627594,0.5082508325576782,1.0201036930084229,0.5157515406608582,188,0.2796134352684021,0.0,5.556549599976279
clf_only,resnet18,FGVC-Aircraft,0,False,0.0001,0.0001,0,0.2670266926288605,0.26552653312683105,-0.1500159502029419,0.2646264433860779,6,0.009620213881134987,0.0,5.359898700029589
clf_only,resnet18,FGVC-Aircraft,1,False,0.0001,0.0001,0,0.2931292951107025,0.29372936487197876,0.06000697612762451,0.28652864694595337,6,0.010620588436722755,0.0,5.353540600044653
clf_only,resnet18,FGVC-Aircraft,2,False,0.0001,0.0001,0,0.2760275900363922,0.27662765979766846,0.06000697612762451,0.27752774953842163,3,0.006352300755679607,0.0,5.289437200059183
joint,resnet18,DTD,0,True,0.0001,0.0001,0,0.5117021203041077,0.5111702084541321,-0.053191184997558594,0.5101063847541809,1,0.013797299936413765,0.0035390098813425338,12.860377500066534
joint,resnet18,DTD,1,True,0.0001,0.0001,0,0.5159574151039124,0.5207446813583374,0.4787266254425049,0.5148935914039612,8,0.03482655808329582,0.04309806046209319,12.838384800008498
joint,resnet18,DTD,2,True,0.0001,0.0001,0,0.5335106253623962,0.5361701846122742,0.26595592498779297,0.5244680643081665,5,0.0264540147036314,0.012140859702439976,12.760383700020611
joint,dinov2,FGVC-Aircraft,0,True,0.0001,0.0001,0,0.5319531559944153,0.5472546815872192,1.5301525592803955,0.5556555390357971,89,0.07441459596157074,0.6282501946286412,24.35933769994881
joint,dinov2,FGVC-Aircraft,1,True,0.0001,0.0001,0,0.5160515904426575,0.5493549108505249,3.330332040786743,0.5514551401138306,62,0.06517866253852844,0.5949687161867055,24.35232810000889
joint,dinov2,FGVC-Aircraft,2,True,0.0001,0.0001,0,0.498049795627594,0.5253525376319885,2.730274200439453,0.5376537442207336,60,0.06438694149255753,0.5465409938183471,24.230789600056596
joint,resnet18,FGVC-Aircraft,0,True,0.0001,0.0001,0,0.2670266926288605,0.28742873668670654,2.040204405784607,0.2796279489994049,26,0.026396499946713448,0.22473478582932183,25.30126850004308
joint,resnet18,FGVC-Aircraft,1,True,0.0001,0.0001,0,0.2931292951107025,0.2970297038555145,0.39004087448120117,0.2940293848514557,19,0.024612970650196075,0.1475553597648962,25.382683100062422
joint,resnet18,FGVC-Aircraft,2,True,0.0001,0.0001,0,0.2760275900363922,0.280828058719635,0.4800468683242798,0.2820281982421875,16,0.021664217114448547,0.11083313025025363,25.32236769993324
clf_lr=1e-5,resnet18,DTD,0,True,0.0001,1e-05,0,0.5117021203041077,0.5101063847541809,-0.15957355499267578,0.5111702084541321,3,0.002676769159734249,0.012964649166753068,12.851138299913146
clf_lr=1e-5,resnet18,DTD,1,True,0.0001,1e-05,0,0.5159574151039124,0.5207446813583374,0.4787266254425049,0.5164893269538879,8,0.003615061054006219,0.05032191578007129,12.96565060003195
clf_lr=1e-5,resnet18,DTD,2,True,0.0001,1e-05,0,0.5335106253623962,0.5367020964622498,0.31914710998535156,0.5239361524581909,9,0.004354110918939114,0.05773199407523818,12.838508000015281
clf_lr=1e-5,dinov2,FGVC-Aircraft,0,True,0.0001,1e-05,0,0.5319531559944153,0.5466546416282654,1.4701485633850098,0.5577557682991028,66,0.009429254569113255,0.6442433429017589,24.39640949992463
clf_lr=1e-5,dinov2,FGVC-Aircraft,1,True,0.0001,1e-05,0,0.5160515904426575,0.5451545119285583,2.910292148590088,0.5529552698135376,46,0.007803271058946848,0.5587058502869722,24.571205400046892
clf_lr=1e-5,dinov2,FGVC-Aircraft,2,True,0.0001,1e-05,0,0.498049795627594,0.5286528468132019,3.060305118560791,0.537953794002533,33,0.006587519310414791,0.39414759336702826,24.497292599990033
clf_lr=1e-5,resnet18,FGVC-Aircraft,0,True,0.0001,1e-05,0,0.2670266926288605,0.28772875666618347,2.0702064037323,0.280828058719635,23,0.002664789091795683,0.1996068798227552,25.381418099976145
clf_lr=1e-5,resnet18,FGVC-Aircraft,1,True,0.0001,1e-05,0,0.2931292951107025,0.29612961411476135,0.3000319004058838,0.29612961411476135,19,0.002617146586999297,0.1613149127896626,25.556561499950476
clf_lr=1e-5,resnet18,FGVC-Aircraft,2,True,0.0001,1e-05,0,0.2760275900363922,0.28232821822166443,0.6300628185272217,0.28232821822166443,16,0.0022846597712486982,0.11986015938052581,25.388789999997243
clf_lr=1e-3,resnet18,DTD,0,True,0.0001,0.001,0,0.5117021203041077,0.5106382966041565,-0.10638236999511719,0.5085106492042542,4,0.28226739168167114,0.01167399091842241,12.878563900012523
clf_lr=1e-3,resnet18,DTD,1,True,0.0001,0.001,0,0.5159574151039124,0.5202127695083618,0.4255354404449463,0.5148935914039612,0,0.04979948699474335,0.001781318147068728,12.966679399949498
